umap_x,umap_y,umap_z,department,culture,medium,object_name,object_begin_date
3.0570724,0.55337155,-1.2218336,Drawings and Prints,Unknown,Engraving; first state,Print,1565
10.043946,1.6441964,2.841248,Drawings and Prints,Unknown,Etching on blue paper,Print,1790
-2.301943,3.6071823,9.545964,Arms and Armor,Japanese,"Copper-gold alloy (shakudō), gold, coral",Sword-hilt collar and pommel (Fuchigashira),1590
-5.1760354,-3.0031855,-2.4560838,European Sculpture and Decorative Arts,"French, Paris",Bronze,Medal,1500
-8.535047,0.65924895,-1.6795806,Drawings and Prints,Unknown,Etching,Print,1650
11.381244,13.044987,-2.1524456,Greek and Roman Art,"Greek, Attic",Terracotta,Kylix fragment,-500
3.6795192,-7.6979265,5.6172423,Drawings and Prints,Unknown,Engraving; first state of two,Print,1544
7.2285004,2.5425553,4.5282483,European Sculpture and Decorative Arts,Italian,Silk on linen,Sampler,1800
10.593564,0.22595501,-0.50605315,Drawings and Prints,Unknown,"Lithographs, colored",Book,1850
2.5166678,-7.47212,-1.8533607,Medieval Art,German (?),Colorless glass,Fragment,1600
-1.4097433,5.0051813,-1.6668435,Photographs,Unknown,Gelatin silver print,Photograph,1939
-3.696459,-7.0273356,2.655098,The American Wing,American,"Seed pearls, gold, and rubies",Bracelet,1917
7.7845783,7.6100483,-2.5258741,Drawings and Prints,Unknown,Commercial color photolithograph,Print,1927
-6.42379,-7.382744,-2.772495,Drawings and Prints,Unknown,"Heavy card stock, lithography, watercolor",Valentine,1810
2.4327888,-2.5513349,-8.906862,Costume Institute,British,"silk, cotton, leather",Breeches,1735
-1.7105227,-2.2027466,1.6848534,Drawings and Prints,Unknown,Illustrations: photomechanical process,Book,1894
-3.5084422,1.3461262,-4.618479,Medieval Art,Roman,Gilt copper alloy,Hairpin,100
0.009099512,-7.169176,-5.065799,European Sculpture and Decorative Arts,"French, Limoges","Painted enamel on copper, partly gilt",Plaque,1525
-2.7544699,0.9326592,-1.5542592,"Arts of Africa, Oceania, and the Americas",Olmec,Stone,Spoon,1200
5.359953,-1.6682111,0.18124214,Asian Art,Indonesia (Java),Gold,Hair Ornament,700
-4.563397,-3.793979,4.947479,Ancient Near Eastern Art,Scythian,Gold,Dress ornament,-500
0.84831613,-1.9539365,6.720142,Asian Art,"Indonesia (Java, Lumajang, Pasiran)",Bronze,Pendant,-500
1.9601786,4.202003,-2.1890721,Modern and Contemporary Art,Unknown,Plaster,Sculpture,1910
-12.9810915,5.5423636,-4.455676,Egyptian Art,Unknown,Hard wood,Headrest,-2030
-1.9611197,-0.73290956,6.859118,Egyptian Art,Unknown,Pottery,"Bowl, rough ware",-3850
-2.5712476,7.2484818,-7.0104623,Drawings and Prints,Unknown,Relief print (wood or metal),Print; decorative paper,1800
-6.889716,2.247333,-5.442474,Drawings and Prints,Unknown,Lithograph; first state of two,Print,1832
-4.7718596,10.766355,9.139886,Musical Instruments,Unknown,Metal,Tuning Fork,0
-5.616436,-2.812983,8.294577,Medieval Art,Italian,"Wool, silk",Textile,1500
0.37720343,4.0578737,-1.8396138,Drawings and Prints,Unknown,Drypoint,Print,1935
-5.5759764,3.9443321,-15.791796,Greek and Roman Art,"Greek, Attic",Terracotta,Column-krater fragment,-530
10.076691,0.59312296,-0.52006686,Drawings and Prints,Unknown,Lithograph on wove paper,Print,1840
13.56007,-5.8556895,9.301959,Greek and Roman Art,"Greek, Attic",Terracotta,Lekythos fragment,-650
-1.316536,-2.1574569,1.082848,Drawings and Prints,Unknown,"Etching, hand-colored",Book ; Ornament and architecture,1839
4.256244,4.4091916,-9.76092,European Sculpture and Decorative Arts,British,"Gold, heliotrope, diamond",Nécessaire,1730
1.1194972,3.1775196,-7.435073,European Sculpture and Decorative Arts,"French, Sèvres",Soft-paste porcelain,Chamber pot,1757
10.818044,-2.6213524,-14.136938,Greek and Roman Art,"Greek, Attic",Terracotta,Kylix fragment,-530
-8.482941,5.046385,0.005256556,Drawings and Prints,Unknown,Etching; third state,Print,1816
-1.662162,4.9439864,-2.0275364,Photographs,Unknown,Film negative,Negative,1941
7.2796297,6.3561106,-15.640621,Asian Art,Japan,Silk,Piece,1700
0.5995837,-5.0182047,2.4880753,Drawings and Prints,Unknown,Etching and drypoint; second of three states,Print,1900
